time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-17 00:00:00+00:00,15,5,0,0
2026-06-18 00:00:00+00:00,28,9,0,0
2026-06-19 00:00:00+00:00,38,14,0,0
2026-06-20 00:00:00+00:00,25,7,0,0
2026-06-21 00:00:00+00:00,43,12,0,0
2026-06-22 00:00:00+00:00,51,18,0,0
2026-06-23 00:00:00+00:00,35,10,0,0
2026-06-24 00:00:00+00:00,39,10,0,0
2026-06-25 00:00:00+00:00,24,6,0,0
2026-06-26 00:00:00+00:00,2,2,0,0
2026-06-27 00:00:00+00:00,13,7,0,0
2026-06-28 00:00:00+00:00,15,6,0,0
2026-06-29 00:00:00+00:00,10,7,0,0
2026-06-30 00:00:00+00:00,9,4,0,0
